,case_number,date,year,type,country,area,location,activity,name,sex,age,injury,fatal_(y/n),time,species,investigator_or_source,pdf,href_formula,href,case_number_1,case_number_2,original_order,unnamed_22,unnamed_23
0,2018.06.25,2018-06-25,2018,Provoked,Usa,California,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
6,2018.06.03.a,2018-06-03,2018,Unprovoked,Brazil,Pernambuco,unknown,Swimming,unknown,M,0,unknown,Y,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
8,2018.05.26.b,2018-05-26,2018,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
10,2018.05.24,2018-05-24,2018,Provoked,Australia,Queensland,unknown,Bathing,unknown,M,0,unknown,N,Morning,grey_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
13,2018.05.13.a,2018-05-13,2018,Unprovoked,England,Cornwall,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
16,2018.05.09,2018-05-09,2018,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
18,2018.04.28.b,2018-04-28,2018,Unprovoked,Costa rica,Cocos Island,unknown,Diving,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
21,2018.04.25.a,2018-04-25,2018,Unprovoked,Australia,Western Australia,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
22,2018.04.24,2018-04-24,2018,Unprovoked,Australia,Western Australia,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
23,2018.04.23,2018-04-23,2018,Unprovoked,Maldives,Alifu Alifu Atoll,unknown,Fishing,unknown,M,0,unknown,N,Night,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
24,2018.04.22,2018-04-22,2018,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
30,2018.04.14,2018-04-14,2018,Unprovoked,Bahamas,New Providence,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
34,2018.04.03,2018-04-03,2018,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
35,2018.03.31,2018-03-31,2018,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
36,2018.03.14,2018-03-14,2018,Unprovoked,Australia,Western Australia,unknown,Wading,unknown,M,0,unknown,N,Afternoon,wobbegong,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
37,2018.03.09.b,2018-03-09,2018,Unprovoked,Australia,Victoria,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
38,2018.03.09.a,2018-03-09,2018,Unprovoked,Australia,Victoria,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
40,2018.02.23,2018-02-23,2018,Unprovoked,Australia,New South Wales,unknown,Swimming,unknown,F,0,unknown,N,Night,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
42,2018.02.15,2018-02-15,2018,Unprovoked,Australia,New South Wales,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
43,2018.02.14,2018-02-14,2018,Unprovoked,Australia,Queensland,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,wobbegong,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
49,2018.01.14,2018-01-14,2018,Unprovoked,Australia,Queensland,unknown,Diving,unknown,M,0,unknown,N,Afternoon,grey_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
51,2018.01.12,2018-01-12,2018,Unprovoked,Brazil,Fernando de Noronha,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
53,2017.12.31,2017-12-31,2017,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,F,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
60,2017.11.24,2017-11-24,2017,Unprovoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
63,2017.11.13,2017-11-13,2017,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
64,2017.11.04,2017-11-04,2017,Unprovoked,Cuba,Holquin Province,unknown,Bathing,unknown,M,0,unknown,Y,Night,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
66,2017.10.28,2017-10-28,2017,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,wobbegong,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
71,2017.10.22,2017-10-22,2017,Unprovoked,Australia,South Australia,unknown,Fishing,unknown,F,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
72,2017.10.21,2017-10-21,2017,Unprovoked,New zealand,North Island,unknown,Bathing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
73,2017.10.18,2017-10-18,2017,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
74,2017.10.09,2017-10-09,2017,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
75,2017.10.05,2017-10-05,2017,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
77,2017.09.25.b,2017-09-25,2017,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
78,2017.09.25.a,2017-09-25,2017,Unprovoked,Australia,Western Australia,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
80,2017.09.24.a,2017-09-24,2017,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
87,2017.09.13,2017-09-13,2017,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
89,2017.09.10.a,2017-09-10,2017,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Dawn,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
96,2017.08.29,2017-08-29,2017,Unprovoked,Australia,Victoria,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
100,2017.08.23,2017-08-23,2017,Unprovoked,Usa,Massachusetts,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
102,2017.08.10,2017-08-10,2017,Unprovoked,Usa,South Carolina,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
104,2017.08.03,2017-08-03,2017,Provoked,Usa,Massachusetts,unknown,Fishing,unknown,M,0,unknown,N,Night,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
105,2017.08.01,2017-08-01,2017,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
113,2017.07.23.a,2017-07-23,2017,Unprovoked,Spain,Majorca,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,blue,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
116,2017.07.20.b,2017-07-20,2017,Provoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
117,2017.07.20.a,2017-07-20,2017,Unprovoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
118,2017.07.14.b,2017-07-14,2017,Unprovoked,Usa,Washington,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
120,2017.07.11,2017-07-11,2017,Provoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
121,2017.07.09,2017-07-09,2017,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
123,2017.07.07,2017-07-07,2017,Unprovoked,South africa,Eastern Cape Province,unknown,Surfing,unknown,F,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
133,2017.06.11,2017-06-11,2017,Unprovoked,Australia,Western Australia,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
134,2017.06.10.b,2017-06-10,2017,Unprovoked,Australia,Victoria,unknown,Surfing,unknown,F,0,unknown,N,Afternoon,broadnose_sevengill,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
138,2017.06.02,2017-06-02,2017,Unprovoked,Bahamas,New Providence ,unknown,Bathing,unknown,F,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
140,2017.05.28,2017-05-28,2017,Unprovoked,Usa,Florida,unknown,Bathing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
155,2017.04.17.a,2017-04-17,2017,Unprovoked,Australia,Western Australia,unknown,Surfing,unknown,F,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
156,2017.04.14,2017-04-14,2017,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
166,2017.04.02.a,2017-04-02,2017,Unprovoked,Usa,Florida,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
169,2017.03.18,2017-03-18,2017,Provoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
172,2017.02.25,2017-02-25,2017,Unprovoked,Australia,Western Australia,unknown,Bathing,unknown,F,0,unknown,N,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
177,2017.02.06.b,2017-02-06,2017,Provoked,Brazil,Pernambuco,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,lemon,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
183,2017.01.21,2017-01-21,2017,Unprovoked,Australia,Queensland,unknown,Diving,unknown,M,0,unknown,N,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
186,2017.01.09,2017-01-09,2017,Unprovoked,Indonesia,Bali,unknown,Surfing,unknown,M,0,unknown,N,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
191,2016.12.24,2016-12-24,2016,Unprovoked,Australia,Western Australia,unknown,Bathing,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
192,2016.12.19,2016-12-19,2016,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
196,2016.12.06,2016-12-06,2016,Provoked,Australia,New South Wales,unknown,Bathing,unknown,M,0,unknown,N,Dawn,wobbegong,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
197,2016.12.01,2016-12-01,2016,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
198,2016.11.28,2016-11-28,2016,Provoked,Australia,Victoria,unknown,Fishing,unknown,M,0,unknown,N,Morning,broadnose_sevengill,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
199,2016.11.14,2016-11-14,2016,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,F,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
203,2016.10.21,2016-10-21,2016,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
211,2016.09.26,2016-09-26,2016,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
219,2016.09.11,2016-09-11,2016,Unprovoked,Usa,Florida,unknown,Wading,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
220,2016.09.07,2016-09-07,2016,Unprovoked,Usa,Hawaii,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
227,2016.08.29.b,2016-08-29,2016,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
232,2016.08.06,2016-08-06,2016,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
234,2016.07.29,2016-07-29,2016,Unprovoked,Spain,Alicante Province,unknown,Swimming,unknown,M,0,unknown,N,Morning,blue,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
242,2016.07.20,2016-07-20,2016,Provoked,Australia,Queensland,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
246,2016.07.15.b,2016-07-15,2016,Unprovoked,Usa,California,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
251,2016.07.07.b,2016-07-07,2016,Provoked,Usa,Massachusetts,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
254,2016.07.04,2016-07-04,2016,Provoked,Australia,Queensland,unknown,Fishing,unknown,M,0,unknown,N,Night,nurse,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
257,2016.06.24,2016-06-24,2016,Unprovoked,Columbia,Isla Provedencia,unknown,Diving,unknown,M,0,unknown,N,Morning,caribbean_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
259,2016.06.21.b,2016-06-21,2016,Unprovoked,Usa,South Carolina,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
261,2016.06.15.b,2016-06-15,2016,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Dawn,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
263,2016.06.14,2016-06-14,2016,Unprovoked,Usa,Texas,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
264,2016.06.11,2016-06-11,2016,Unprovoked,Usa,North Carolina,unknown,Bathing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
267,2016.06.05.a,2016-06-05,2016,Unprovoked,Australia,Western Australia,unknown,Diving,unknown,F,0,unknown,Y,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
268,2016.06.04,2016-06-04,2016,Unprovoked,Egypt,Suez,unknown,Swimming,unknown,M,0,unknown,N,Morning,mako,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
271,2016.05.31,2016-05-31,2016,Unprovoked,Australia,Western Australia,unknown,Surfing,unknown,M,0,unknown,Y,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
273,2016.05.29.a,2016-05-29,2016,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
275,2016.05.21.b,2016-05-21,2016,Unprovoked,Usa,Florida,unknown,Swimming,unknown,F,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
277,2016.05.18,2016-05-18,2016,Unprovoked,Usa,Florida,unknown,Swimming,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
278,2016.05.15,2016-05-15,2016,Provoked,Usa,Florida,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,nurse,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
280,2016.05.02,2016-05-02,2016,Provoked,New zealand,North Island,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,mako,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
281,2016.04.25,2016-04-25,2016,Unprovoked,Indonesia,Bali,unknown,Surfing,unknown,M,0,unknown,N,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
283,2016.04.22,2016-04-22,2016,Unprovoked,South africa,Western Cape Province,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
284,2016.04.19,2016-04-19,2016,Unprovoked,Australia,New South Wales,unknown,Swimming,unknown,M,0,unknown,N,Morning,wobbegong,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
285,2016.04.18.b,2016-04-18,2016,Provoked,French polynesia,Tuamotos,unknown,Fishing,unknown,M,0,unknown,Y,Morning,grey_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
286,2016.04.18.a,2016-04-18,2016,Provoked,French polynesia,Tuamotos,unknown,Fishing,unknown,M,0,unknown,N,Morning,grey_reef,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
288,2016.04.09,2016-04-09,2016,Unprovoked,New caledonia,Grand Terre,unknown,Bathing,unknown,F,0,unknown,Y,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
301,2016.03.03.R,2016-03-03,2016,Unprovoked,Australia,South Australia,unknown,Fishing,unknown,M,0,unknown,N,Night,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
312,2016.01.28,2016-01-28,2016,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
314,2016.01.24.b,2016-01-24,2016,Unprovoked,Usa,Texas,unknown,Fishing,unknown,M,0,unknown,N,Morning,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
316,2016.01.23,2016-01-23,2016,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
318,2016.01.05,2016-01-05,2016,Unprovoked,Australia,Queensland,unknown,Wading,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
319,2016.01.02,2016-01-02,2016,Unprovoked,Australia,Queensland,unknown,Fishing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
320,2015.12.26,2015-12-26,2015,Provoked,South africa,KwaZulu-Natal,unknown,Fishing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
322,2015.12.22,2015-12-22,2015,Unprovoked,Usa,Hawaii,unknown,Bathing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
323,2015.12.21.b,2015-12-21,2015,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Morning,copper,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
329,2015.11.20,2015-11-20,2015,Unprovoked,Ecuador,Galapagos Islands,unknown,Bathing,unknown,M,0,unknown,N,Morning,galapagos,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
333,2015.11.10,2015-11-10,2015,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,bull,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
336,2015.11.01.b,2015-11-01,2015,Unprovoked,Usa,Florida,unknown,Wading,unknown,F,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
340,2015.10.25,2015-10-25,2015,Unprovoked,South africa,Western Cape Province,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
341,2015.10.21,2015-10-21,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
342,2015.10.19,2015-10-19,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,spinner,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
345,2015.10.17.a,2015-10-17,2015,Unprovoked,Usa,Hawaii,unknown,Swimming,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
346,2015.10.13,2015-10-13,2015,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Morning,hammerhead,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
348,2015.10.09.a,2015-10-09,2015,Unprovoked,Usa,Hawaii,unknown,Surfing,unknown,M,0,unknown,N,Morning,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
352,2015.10.05.a,2015-10-05,2015,Unprovoked,Usa,Texas,unknown,Wading,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
353,2015.10.04,2015-10-04,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Morning,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
354,2015.09.29,2015-09-29,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
356,2015.09.24,2015-09-24,2015,Provoked,Usa,California,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
357,2015.09.20.d,2015-09-20,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
358,2015.09.20.c,2015-09-20,2015,Unprovoked,Usa,Hawaii,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,tiger,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
359,2015.09.20.b,2015-09-20,2015,Unprovoked,Usa,Florida,unknown,Wading,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
364,2015.09.08,2015-09-08,2015,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Dawn,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
365,2015.09.06,2015-09-06,2015,Unprovoked,Usa,California,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
366,2015.09.05,2015-09-05,2015,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Afternoon,hammerhead,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
367,2015.09.04,2015-09-04,2015,Unprovoked,Australia,New South Wales,unknown,Bathing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
369,2015.09.01,2015-09-01,2015,Unprovoked,Thailand,Phuket,unknown,Wading,unknown,F,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
371,2015.08.29.b,2015-08-29,2015,Unprovoked,Usa,California,unknown,Surfing,unknown,F,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
372,2015.08.29.a,2015-08-29,2015,Unprovoked,Usa,California,unknown,Surfing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
375,2015.08.20,2015-08-20,2015,Unprovoked,Usa,South Carolina,unknown,Surfing,unknown,M,0,unknown,N,Morning,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
376,2015.08.19,2015-08-19,2015,Unprovoked,Usa,Florida,unknown,Bathing,unknown,F,0,unknown,N,Afternoon,unidentified_shark,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
377,2015.08.18.b,2015-08-18,2015,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Morning,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
379,2015.08.10,2015-08-10,2015,Provoked,Usa,California,unknown,Fishing,unknown,M,0,unknown,N,Morning,hammerhead,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
380,2015.07.31,2015-07-31,2015,Unprovoked,Australia,New South Wales,unknown,Surfing,unknown,M,0,unknown,N,Dawn,white,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
383,2015.07.26.b,2015-07-26,2015,Unprovoked,Usa,Florida,unknown,Surfing,unknown,M,0,unknown,N,Night,blacktip,unknown,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown
